Parking Lot Number,Latitude,Longitude
9,-31.9853609,115.8211628
9,-31.98535463,115.8211436
9,-31.98535463,115.8211162
9,-31.98535804,115.8210853
9,-31.98535463,115.8210618
9,-31.98535747,115.8210364
9,-31.98544506,115.8210384
9,-31.98544279,115.8210665
9,-31.98544335,115.8210853
9,-31.98545018,115.8211135
9,-31.9854553,115.821139
9,-31.98544563,115.8211651
12,-31.98282922,115.8182551
12,-31.98281444,115.8182611
12,-31.98278714,115.8182578
12,-31.98276723,115.8182611
12,-31.98274732,115.8182591
12,-31.9827223,115.8182598
19,-31.97751718,115.8166334
19,-31.97749329,115.8166375
19,-31.97747168,115.8166354
22,-31.97622471,115.816989
22,-31.97621964,115.8170153
22,-31.97622573,115.8170488
22,-31.9762237,115.8170727
22,-31.97622729,115.8171026
22,-31.97622729,115.81713
22,-31.97622563,115.8171535
22,-31.97622729,115.817181
22,-31.97623062,115.8172045
22,-31.97622812,115.8172339
22,-31.97623062,115.8172555
